sp_id,name,lon,lat,zone,Hybrid_Site_Class,Shake_Feel_Level_1to5,Hybrid_Resonance_Hazard,Today_MMI_est,M5p2_PGA_g,M5p2_PGV_cm_s,M5p2_Sa_0p3_g,M5p2_Sa_1p0_g,M5p2_Sa_2p0_g,Repi_km,MNBC2025_Application_Zone,Risk
SP01,L4 | SP01 RDEF5-3D,96.17125400000002,16.930067,Zone 1 - Basin Core,E - Very Soft / Basin,4,Very High,V to VI,0.0483,5.88,0.10164,0.1306199999999999,0.07728,41.60613477618536,Zone 3 - Site-specific spectrum required,Very High
SP02,L3 | SP02 RCAF2-3D,96.169725,16.94594,Zone 2 - Mixed Urban,D - Soft Soil,3,High,IV to V,0.0357,4.41,0.08904,0.05544,0.02688,43.16774934090928,Zone 2 - Site-adjusted MNBC spectrum,High
SP04,L3 | SP04 RCAF2-3D,96.09184400000001,16.756232,Zone 2 - Mixed Urban,D - Soft Soil,3,High,IV to V,0.0357,4.41,0.08904,0.05544,0.02688,35.18497689644124,Zone 2 - Site-adjusted MNBC spectrum,High
SP05,L2 | SP05 R3AA4-3D,96.1372723,16.844978217,Zone 3 - Baseline/Stiffer,D - Soft Soil,2,Moderate,IV to V,0.0251999999999999,2.94,0.0604799999999999,0.02268,0.00966,36.74352025994278,Zone 2 - Site-adjusted MNBC spectrum,Moderate
SP06,L3 | SP06 RCAF2-3D,96.02848000000002,16.866508,Zone 2 - Mixed Urban,D - Soft Soil,3,High,IV to V,0.0357,4.41,0.08904,0.05544,0.02688,47.25664550798516,Zone 2 - Site-adjusted MNBC spectrum,High
SP07,L4 | SP07 RDEF5-3D,96.028502733,16.866553033,Zone 1 - Basin Core,E - Very Soft / Basin,4,Very High,V to VI,0.0483,5.88,0.10164,0.1306199999999999,0.07728,47.25757476799579,Zone 3 - Site-specific spectrum required,Very High
SP08,L3 | SP08 RCAF2-3D,96.17659595,16.901405283,Zone 2 - Mixed Urban,D - Soft Soil,3,High,IV to V,0.0357,4.41,0.08904,0.05544,0.02688,38.67008613212806,Zone 2 - Site-adjusted MNBC spectrum,High
SP09,L4 | SP09 RDEF5-3D,96.212145467,16.91583303,Zone 1 - Basin Core,E - Very Soft / Basin,4,Very High,V to VI,0.0483,5.88,0.10164,0.1306199999999999,0.07728,37.9558615887825,Zone 3 - Site-specific spectrum required,Very High
SP10,L2 | SP10 R3AA4-3D,96.175905117,16.84498045,Zone 3 - Baseline/Stiffer,D - Soft Soil,2,Moderate,IV to V,0.0251999999999999,2.94,0.0604799999999999,0.02268,0.00966,33.84665088597496,Zone 2 - Site-adjusted MNBC spectrum,Moderate
SP11,L2 | SP11 R3AA4-3D,96.21897600000001,16.858589,Zone 3 - Baseline/Stiffer,D - Soft Soil,2,Moderate,IV to V,0.0251999999999999,2.94,0.0604799999999999,0.02268,0.00966,32.17888385041037,Zone 2 - Site-adjusted MNBC spectrum,Moderate
SP12,L4 | SP12 RCAF2-3D,96.27398880000001,16.830124,Zone 2 - Mixed Urban,D - Soft Soil,4,High,IV to V,0.0357,4.41,0.08904,0.05544,0.02688,26.42981425830853,Zone 2 - Site-adjusted MNBC spectrum,High
SP13,L5 | SP13 RDEF5-3D,96.210868967,16.8143398,Zone 1 - Basin Core,E - Very Soft / Basin,5,Very High,V to VI,0.0483,5.88,0.10164,0.1306199999999999,0.07728,28.82520314037077,Zone 3 - Site-specific spectrum required,Very High
SP14,L5 | SP14 RDEF5-3D,96.196361433,16.800354283,Zone 1 - Basin Core,E - Very Soft / Basin,5,Very High,V to VI,0.0483,5.88,0.10164,0.1306199999999999,0.07728,28.765676718958247,Zone 3 - Site-specific spectrum required,Very High
SP15,L2 | SP15 R3AA4-3D,96.17491698300002,16.786526807,Zone 3 - Baseline/Stiffer,D - Soft Soil,2,Moderate,IV to V,0.0251999999999999,2.94,0.0604799999999999,0.02268,0.00966,29.455190170057225,Zone 2 - Site-adjusted MNBC spectrum,Moderate
SP17,L3 | SP17 R3AA4-3D,96.262731867,16.752025767,Zone 3 - Baseline/Stiffer,D - Soft Soil,3,Moderate,IV to V,0.0251999999999999,2.94,0.0604799999999999,0.02268,0.00966,19.981901130977292,Zone 2 - Site-adjusted MNBC spectrum,Moderate
SP18,L5 | SP18 RDEF5-3D,96.218372983,16.80942035,Zone 1 - Basin Core,E - Very Soft / Basin,5,Very High,V to VI,0.0483,5.88,0.10164,0.1306199999999999,0.07728,27.8874032961066,Zone 3 - Site-specific spectrum required,Very High
SP19,L3 | SP19 RCAF2-3D,96.135579183,16.86328655,Zone 2 - Mixed Urban,D - Soft Soil,3,High,IV to V,0.0357,4.41,0.08904,0.05544,0.02688,38.28515836046128,Zone 2 - Site-adjusted MNBC spectrum,High
SP20,L4 | SP20 RCAF2-3D,96.180473,16.807783,Zone 2 - Mixed Urban,D - Soft Soil,4,High,IV to V,0.0357,4.41,0.08904,0.05544,0.02688,30.55997689150576,Zone 2 - Site-adjusted MNBC spectrum,High
SP21,L5 | SP21 RDEF5-3D,96.136183,16.81093,Zone 1 - Basin Core,E - Very Soft / Basin,5,Very High,V to VI,0.0483,5.88,0.10164,0.1306199999999999,0.07728,34.371263214085616,Zone 3 - Site-specific spectrum required,Very High
SP23,L3 | SP23 RCAF2-3D,96.122624287,16.7970224,Zone 2 - Mixed Urban,D - Soft Soil,3,High,IV to V,0.0357,4.41,0.08904,0.05544,0.02688,34.6167209390783,Zone 2 - Site-adjusted MNBC spectrum,High
SP24,L2 | SP24 R3AA4-3D,96.157445017,16.812753933,Zone 3 - Baseline/Stiffer,D - Soft Soil,2,Moderate,IV to V,0.0251999999999999,2.94,0.0604799999999999,0.02268,0.00966,32.752796707409,Zone 2 - Site-adjusted MNBC spectrum,Moderate
SP25,L5 | SP25 RDEF5-3D,96.16386199999998,16.825978,Zone 1 - Basin Core,E - Very Soft / Basin,5,Very High,V to VI,0.0483,5.88,0.10164,0.1306199999999999,0.07728,33.234292813117804,Zone 3 - Site-specific spectrum required,Very High
